event_id,event_date,anchor_date,event_type,event_group,window_label,expected_count,row_count,min_relative_day,max_relative_day,anchor_shift_calendar_days,is_complete
E01,2018-03-22,2018-03-22,tariff_announcement,escalation,m1_p1,3,3,-1,1,0,True
E01,2018-03-22,2018-03-22,tariff_announcement,escalation,m3_p3,7,7,-3,3,0,True
E01,2018-03-22,2018-03-22,tariff_announcement,escalation,m5_p5,11,11,-5,5,0,True
E02,2018-04-06,2018-04-06,tariff_announcement,escalation,m1_p1,3,3,-1,1,0,True
E02,2018-04-06,2018-04-06,tariff_announcement,escalation,m3_p3,7,7,-3,3,0,True
E02,2018-04-06,2018-04-06,tariff_announcement,escalation,m5_p5,11,11,-5,5,0,True
E03,2018-06-15,2018-06-15,tariff_announcement,escalation,m1_p1,3,3,-1,1,0,True
E03,2018-06-15,2018-06-15,tariff_announcement,escalation,m3_p3,7,7,-3,3,0,True
E03,2018-06-15,2018-06-15,tariff_announcement,escalation,m5_p5,11,11,-5,5,0,True
E04,2018-07-06,2018-07-06,tariff_implementation,escalation,m1_p1,3,3,-1,1,0,True
E04,2018-07-06,2018-07-06,tariff_implementation,escalation,m3_p3,7,7,-3,3,0,True
E04,2018-07-06,2018-07-06,tariff_implementation,escalation,m5_p5,11,11,-5,5,0,True
E05,2018-07-11,2018-07-11,tariff_announcement,escalation,m1_p1,3,3,-1,1,0,True
E05,2018-07-11,2018-07-11,tariff_announcement,escalation,m3_p3,7,7,-3,3,0,True
E05,2018-07-11,2018-07-11,tariff_announcement,escalation,m5_p5,11,11,-5,5,0,True
E06,2018-08-23,2018-08-23,tariff_implementation,escalation,m1_p1,3,3,-1,1,0,True
E06,2018-08-23,2018-08-23,tariff_implementation,escalation,m3_p3,7,7,-3,3,0,True
E06,2018-08-23,2018-08-23,tariff_implementation,escalation,m5_p5,11,11,-5,5,0,True
E07,2018-09-24,2018-09-24,tariff_implementation,escalation,m1_p1,3,3,-1,1,0,True
E07,2018-09-24,2018-09-24,tariff_implementation,escalation,m3_p3,7,7,-3,3,0,True
E07,2018-09-24,2018-09-24,tariff_implementation,escalation,m5_p5,11,11,-5,5,0,True
E08,2018-12-19,2018-12-19,suspension,relief,m1_p1,3,3,-1,1,0,True
E08,2018-12-19,2018-12-19,suspension,relief,m3_p3,7,7,-3,3,0,True
E08,2018-12-19,2018-12-19,suspension,relief,m5_p5,11,11,-5,5,0,True
E09,2019-03-05,2019-03-05,suspension,relief,m1_p1,3,3,-1,1,0,True
E09,2019-03-05,2019-03-05,suspension,relief,m3_p3,7,7,-3,3,0,True
E09,2019-03-05,2019-03-05,suspension,relief,m5_p5,11,11,-5,5,0,True
E10,2019-05-10,2019-05-10,tariff_increase,escalation,m1_p1,3,3,-1,1,0,True
E10,2019-05-10,2019-05-10,tariff_increase,escalation,m3_p3,7,7,-3,3,0,True
E10,2019-05-10,2019-05-10,tariff_increase,escalation,m5_p5,11,11,-5,5,0,True
E11,2019-08-20,2019-08-20,tariff_announcement,escalation,m1_p1,3,3,-1,1,0,True
E11,2019-08-20,2019-08-20,tariff_announcement,escalation,m3_p3,7,7,-3,3,0,True
E11,2019-08-20,2019-08-20,tariff_announcement,escalation,m5_p5,11,11,-5,5,0,True
E12,2019-08-30,2019-08-30,tariff_increase,escalation,m1_p1,3,3,-1,1,0,True
E12,2019-08-30,2019-08-30,tariff_increase,escalation,m3_p3,7,7,-3,3,0,True
E12,2019-08-30,2019-08-30,tariff_increase,escalation,m5_p5,11,11,-5,5,0,True
E13,2019-09-01,2019-09-03,tariff_implementation,escalation,m1_p1,3,3,-1,1,2,True
E13,2019-09-01,2019-09-03,tariff_implementation,escalation,m3_p3,7,7,-3,3,2,True
E13,2019-09-01,2019-09-03,tariff_implementation,escalation,m5_p5,11,11,-5,5,2,True
E14,2019-12-13,2019-12-13,agreement,relief,m1_p1,3,3,-1,1,0,True
E14,2019-12-13,2019-12-13,agreement,relief,m3_p3,7,7,-3,3,0,True
E14,2019-12-13,2019-12-13,agreement,relief,m5_p5,11,11,-5,5,0,True
E15,2019-12-18,2019-12-18,suspension,relief,m1_p1,3,3,-1,1,0,True
E15,2019-12-18,2019-12-18,suspension,relief,m3_p3,7,7,-3,3,0,True
E15,2019-12-18,2019-12-18,suspension,relief,m5_p5,11,11,-5,5,0,True
E16,2020-01-15,2020-01-15,agreement,relief,m1_p1,3,3,-1,1,0,True
E16,2020-01-15,2020-01-15,agreement,relief,m3_p3,7,7,-3,3,0,True
E16,2020-01-15,2020-01-15,agreement,relief,m5_p5,11,11,-5,5,0,True
E17,2020-02-14,2020-02-14,tariff_reduction,relief,m1_p1,3,3,-1,1,0,True
E17,2020-02-14,2020-02-14,tariff_reduction,relief,m3_p3,7,7,-3,3,0,True
E17,2020-02-14,2020-02-14,tariff_reduction,relief,m5_p5,11,11,-5,5,0,True
