event_group,window_label,n,mean_car,median_car,trimmed_mean_car,winsorized_mean_car,iqr_car,mad_car,bootstrap_ci_mean_lower,bootstrap_ci_mean_upper,bootstrap_ci_median_lower,bootstrap_ci_median_upper,ttest_pvalue,wilcoxon_pvalue,sign_test_pvalue,n_positive,n_negative,n_neutral,share_positive,share_negative
escalation,m1_p1,13,-0.0030587796519563307,-0.0022361383457499,-0.0014672740068708368,-0.0021675698266284387,0.016497488152015898,0.0070687287820075,-0.01405786044348157,0.006737765885361397,-0.0073601123371885,0.0091373758148274,0.584461501078073,0.83935546875,1.0,4,6,3,0.3076923076923077,0.46153846153846156
escalation,m3_p3,13,0.004830895794983062,0.0114828396780555,0.00637566626772349,0.00548724285430603,0.0349224200553059,0.021822472376052997,-0.01171145910601551,0.020065351407808983,-0.0120688355123443,0.0228535845429616,0.5823827947415307,0.541748046875,0.5810546875,7,4,2,0.5384615384615384,0.3076923076923077
escalation,m5_p5,13,0.009575148123119192,0.0169197842641448,0.009885613796730919,0.008686499457405223,0.0428958755751974,0.018692353433338697,-0.00811230685998265,0.026178475896449855,-0.0116882957137138,0.0312075798614836,0.31906069548981353,0.375732421875,0.5810546875,8,4,1,0.6153846153846154,0.3076923076923077
relief,m1_p1,10,-0.0013010322255705793,0.0016161464835001,-0.00011930726105988717,-0.0006633701087920598,0.013101848559009,0.007220621582285151,-0.009645864994184038,0.006069192552635542,-0.01135757686487135,0.00903970812798745,0.7679764041222261,1.0,0.75390625,4,3,3,0.4,0.3
relief,m3_p3,10,-0.009842870319845489,0.0048262485038498,-0.0009254995026712872,-0.0029393457901007096,0.020604024591100126,0.00805607978496975,-0.035839499846315036,0.00779175340981358,-0.01905081072478815,0.0110236981641969,0.43924027359938816,0.921875,0.75390625,5,3,2,0.5,0.3
relief,m5_p5,10,-0.009193461697139329,0.0074482985207651505,-0.005955310368767775,-0.007644714870910329,0.058684312281844245,0.016910339126986047,-0.03145795758144816,0.010965126712633243,-0.0420733740178481,0.0224009112422612,0.4332873498739861,0.556640625,0.75390625,5,4,1,0.5,0.4
structural,m1_p1,1,-0.0034576402195294,-0.0034576402195294,,-0.0034576402195294,0.0,0.0,-0.0034576402195294,-0.0034576402195294,,,,,,0,0,1,0.0,0.0
structural,m3_p3,1,-0.003819346747875,-0.003819346747875,,-0.003819346747875,0.0,0.0,-0.003819346747875,-0.003819346747875,,,,,,0,0,1,0.0,0.0
structural,m5_p5,1,-0.0066267542759593,-0.0066267542759593,,-0.0066267542759593,0.0,0.0,-0.0066267542759593,-0.0066267542759593,,,,,,0,1,0,0.0,1.0
