window_label,n_events,mean_formal_car_sp500,mean_volatility_sp500,positive_share,negative_share,neutral_share,sample_label,sample_note
m1_p1,17,-0.0037869416295127707,0.006762658748696477,0.35294117647058826,0.47058823529411764,0.17647058823529413,core_only,Amostra principal com 17 eventos.
m3_p3,17,-0.002652734411534536,0.007308334115698235,0.5882352941176471,0.29411764705882354,0.11764705882352941,core_only,Amostra principal com 17 eventos.
m5_p5,17,0.0035487291695257763,0.008646996748651582,0.5882352941176471,0.35294117647058826,0.058823529411764705,core_only,Amostra principal com 17 eventos.
m1_p1,24,-0.0023430040812778123,0.006701644086304417,0.3333333333333333,0.375,0.2916666666666667,core_plus_pandemic_covered,Eventos core e pandemic com cobertura de mercado.
m3_p3,24,-0.001643600192147921,0.006961654409855654,0.5,0.2916666666666667,0.20833333333333334,core_plus_pandemic_covered,Eventos core e pandemic com cobertura de mercado.
m5_p5,24,0.0010798147647165374,0.008294487803211854,0.5416666666666666,0.375,0.08333333333333333,core_plus_pandemic_covered,Eventos core e pandemic com cobertura de mercado.
m1_p1,24,-0.0023430040812778123,0.006701644086304417,0.3333333333333333,0.375,0.2916666666666667,full_market_covered,Todos os eventos do master que possuem cobertura de mercado.
m3_p3,24,-0.001643600192147921,0.006961654409855654,0.5,0.2916666666666667,0.20833333333333334,full_market_covered,Todos os eventos do master que possuem cobertura de mercado.
m5_p5,24,0.0010798147647165374,0.008294487803211854,0.5416666666666666,0.375,0.08333333333333333,full_market_covered,Todos os eventos do master que possuem cobertura de mercado.
